D,n
1,40
2,34
3,28
4,23
5,32
6,32
7,6
8,20
9,11
10,34
11,33
12,28
13,12
14,17
15,40
16,23
17,26
18,26
19,36
20,13
21,18
22,28
23,39
24,20
25,29
26,26
27,23
28,15
29,28
30,25
31,29
32,21
33,24
34,19
35,25
36,26
37,13
38,28
39,28
40,21
41,26
42,15
43,14
44,15
45,20
46,7
47,13
48,28
49,13
50,44
51,37
52,31
53,31
54,29
55,20
56,23
57,39
58,30
59,33
60,26
61,31
62,31
63,13
64,31
65,25
66,23
67,32
68,31
69,36
70,10
71,30
72,28
73,26
74,24
75,23
76,30
77,13
78,25
79,29
80,26
81,36
82,23
83,15
84,29
85,46
86,25
87,24
88,34
89,34
90,26
91,22
92,40
93,29
94,32
95,39
96,36
97,26
98,21
99,40
100,43
101,19
102,24
103,19
104,19
105,25
106,33
107,16
108,30
109,39
110,27
111,20
112,10
113,52
114,37
115,28
116,26
117,22
118,21
119,14
120,48
121,17
122,22
123,24
124,21
125,14
126,39
127,29
128,30
129,20
130,19
131,25
132,27
133,49
134,31
135,23
136,31
137,29
138,43
139,18
140,24
141,41
142,34
143,40
144,45
145,26
146,17
147,28
148,25
149,28
150,27
151,28
152,15
153,16
154,16
155,44
156,42
157,27
158,37
159,23
160,16
161,18
162,46
163,45
164,25
165,25
166,21
167,14
168,27
169,33
170,23
171,37
172,36
173,29
174,33
175,25
176,47
177,26
178,22
179,38
180,26
181,23
182,25
183,43
184,15
185,30
186,37
187,37
188,20
189,16
190,34
191,39
192,38
193,32
194,20
195,23
196,21
197,42
198,29
199,39
200,30
201,32
202,22
203,25
